Source,Target,Type
Nino,Nino,Character
Nino,Bianca,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Fadigati,Deliliers,Place
Deliliers,Deliliers,Character
Deliliers,Deliliers,Character
via,via,Place
via,dottor Manfredini,Place
Fadigati,Fadigati,Place
dottor Manfredini,dottor Manfredini,Character
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
Fadigati,Fadigati,Place
Deliliers,Deliliers,Character
da Majani,da Majani,Place
