Source,Target,Type
Fadigati,Beethoven,Place
Fadigati,Wagner,Place
Fadigati,Wagner,Place
Fadigati,Manservigi,Place
Fadigati,usciere Trapolini,Place
Fadigati,ex calciatore Baùsi,Place
Fadigati,dottore,Place
Fadigati,via Gorgadello,Place
Ferrara,Ferrara,Place
Corticella,Corticella,Place
Corticella,stazione bolognese,Place
Corticella,Ciano,Place
Corticella,ministro,Place
Corticella,Ferrara,Place
Corticella,Bologna,Place
Corticella,Porta Galliera,Place
Bologna,Bologna,Place
Bologna,viale Cavour,Place
Bologna,Eraldo Deliliers,Place
Bologna,Deliliers,Place
Ferrara,Ferrara,Place
Bologna,Bologna,Place
Ferrara,Ferrara,Place
Ferrara,colle di San Luca,Place
Poggio Renatico,Poggio Renatico,Place
Poggio Renatico,Galliera,Place
Poggio Renatico,San Giorgio di Piano,Place
Poggio Renatico,San Pietro in Casale,Place
Poggio Renatico,Castelmaggiore,Place
Poggio Renatico,Corticella,Place
Poggio Renatico,Bologna,Place
Ferrara,Ferrara,Place
Ferrara,Bologna,Place
Ferrara,Fadigati,Place
Ferrara,Bologna,Place
viale Cavour,viale Cavour,Place
viale Cavour,conduttore Aldrovandi,Place
viale Cavour,viale Cavour,Place
Deliliers,Deliliers,Character
Deliliers,Deliliers,Character
Deliliers,Fadigati,Character
Fadigati,Fadigati,Place
Fadigati,Bianca Sgarbi,Place
Fadigati,Attilia,Place
Deliliers,Deliliers,Character
Bianca Sgarbi,Bianca Sgarbi,Character
Bianca Sgarbi,Nino Bottecchiari,Character
Bianca Sgarbi,Malta,Character
Bianca Sgarbi,Bianca,Character
Deliliers,Deliliers,Character
Nino Bottecchiari,Nino Bottecchiari,Character
Deliliers,Deliliers,Character
San Giorgio di Piano,San Giorgio di Piano,Place
San Giorgio di Piano,San Pietro in Casale,Place
San Giorgio di Piano,Fadigati,Place
San Giorgio di Piano,Ponza,Place
San Giorgio di Piano,Tremiti,Place
Poggio Renatico,Poggio Renatico,Place
Bologna,Bologna,Place
Mascarella,Mascarella,Place
Fadigati,Fadigati,Place
Fadigati,Mascarella,Place
via Zamboni,via Zamboni,Place
via Zamboni,via Indipendenza,Place
via Zamboni,stazione,Place
via Zamboni,Nino Bottecchiari,Place
via Zamboni,Bianca Sgarbi,Place
via Zamboni,Bianca,Place
via Zamboni,Sergio Pavani,Place
via Zamboni,Otello Forti,Place
via Zamboni,Giovannino Piazza,Place
via Zamboni,Enrico Sangiuliano,Place
via Zamboni,Vittorio Molon,Place
via Zamboni,Bianca Sgarbi,Place
via Zamboni,io,Place
via Indipendenza,via Indipendenza,Place
via Indipendenza,Fadigati,Place
via Indipendenza,Nino Bottecchiari,Place
via Indipendenza,Bianca Sgarbi,Place
Fadigati,Fadigati,Place
Nino,Nino,Character
Nino,Bianca,Character
Bianca,Bianca,Character
Bianca,Bianca,Character
